irn,DarGlobalUniqueIdentifier,DarInstitutionCode,DarCatalogNumber,DarRelatedInformation,DarImageURL,DarKingdom,DarPhylum,DarFamily,DarScientificName,DarCollector,CollectionTeam,CollectionNumberPrefix,CollectionNumber,CollectionNumberSuffix,CollectionNumberText,ColDateVisitedFrom,ColDateVisitedTo,ColVerbatimDate,DarCollectionNotes,DarContinent,DarCountry,DarStateProvince,DarCounty,DarLocality,Township_tab,Range_tab,Section_tab,DarMinimumElevationMeters,DarMaximumElevationMeters,MinimumElevationFeet,MaximumElevationFeet,DarLatitudeDecimal,DarLongitudeDecimal,LatitudeDMS,LongitudeDMS,DarGeodeticDatum,DarGeorefMethod,DarCoordinateUncertaintyInMeter,ColLocationNotes,FeaCultivated? (Y/N),FeaPlantFungDescription,FeaFrequency,HabHabitat,HabVegetation,HabSubstrate,SpeOtherSpecimenNumbers_tab,OcrText,ERROR,MyOcrText
5037913,e664ce82-2ecf-4084-bc3e-87df955f81eb,NY,4285750,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=5037913,http://sweetgum.nybg.org/images3/4220/762/04285750.jpg,Fungi,Ascomycota,Acarosporaceae,Acarospora,G. T. Johnson,none,No.,none,none,No.,1941-10-20,1941-10-24,"October 20-24, 1941",none,South America,Chile,Coquimbo,none,"Along the road from Illapel to Coquimbo, Coquimbo Prov., Chile.",none,none,none,none,none,none,none,-30.5983,-71.1996,"30° 35' 54"" S","71° 11' 58"" W",none,Estimated from locality description,10000,none,No,none,none,none,none,none,none,"PLANTS OF CHILE
Acarospora
NEW YORK BOTANICAL GARDEN
04285750
Along the road from Illapel
to Coquimbo, Coquimbo Prov.,
Chile.
G. T. Johnson No.
October 20k- 24, 1941.
Locality:
Collector:
BOTANICAL
®ARDÉ*l
04285750",OK,"PLANTS OF CHILE
Acarospora
Locality: Along the road from Illapel to Coquimbo, Coquimbo Prov., Chile.
Collector: G. T. Johnson No.
October 20-24, 1941."
5023682,c2d9ca94-24db-4a08-8a46-5b8e98cfec80,NY,4285746,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=5023682,http://sweetgum.nybg.org/images3/4210/538/04285746-01.jpg,Fungi,Ascomycota,Acarosporaceae,Acarospora obpallens (Nyl. ex Hasse) Zahlbr.,R. C. Harris,none,none,17425,none,17425,1983-12-17,1983-12-17,17 Dec 1983,none,South America,Ecuador,Cotopaxi,none,"Parque Nacional Cotopaxi, along road from Pampa de Limpiop to summit of Cotopaxi",none,none,none,4100,4100,13451.44,13451.44,-0.1,-78.124,00°38'S,78°26'W,none,none,none,none,No,Acarospora,none,grass páramo with scattered shrubs,none,none,none,"THE NEW YORK BOTANICAL GARDEN
CRYPTOGAMS OF ECUADOR
Acarospora
Prov. Cotopaxi:. Parque Nacional Cotopaxi,
along road from Pampa de Limpios to summit
of Cotopaxi, 00°38TS, 78°26fW; 4100 m;
grass páramo with scattered shrubs.
17 December 1983
Acarospora
COTOPAXI: Parque Nacional Cotopaxi,
along road from Pampa de Limpios to
summit of Cotopaxi. 17 Dec 1983.
THE NEW YORK BOTANICAL CARDEN
LICHENS OF ECUADOR
R. C. Harris 17425
<^> IMAGED
04285746
R. C. Harris 17425
04285746",OK,"THE NEW YORK BOTANICAL GARDEN
LICHENS OF ECUADOR
Acarospora
COTOPAXI: Parque Nacional Cotopaxi,
along road from Pampa de Limpiop to
summit of Cotopaxi. 17 Dec 1983.
R. C. Harris 17425
NEW YORK BOTANICAL GARDEN
04285746
IMAGED
THE NEW YORK BOTANICAL GARDEN
CRYPTOGAMS OF ECUADOR
Acarospora
Prov. Cotopaxi: Parque Nacional Cotopaxi,
along road from Pampa de Limpiop to summit
of Cotopaxi, 00°38'S, 78°26'W: 4100 m;
grass páramo with scattered shrubs.
17 December 1983
R. C. Harris 17425"
5023682,c2d9ca94-24db-4a08-8a46-5b8e98cfec80,NY,4285746,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=5023682,http://sweetgum.nybg.org/images3/4210/539/04285746-02.jpg,Fungi,Ascomycota,Acarosporaceae,Acarospora obpallens (Nyl. ex Hasse) Zahlbr.,R. C. Harris,none,none,17425,none,17425,1983-12-17,1983-12-17,17 December 1983,none,South America,Ecuador,Cotopaxi,none,"Prov. Cotopaxi: Parque Nacional Cotopaxi, along road from Pampa de Limpiop to summit of Cotopaxi",none,none,none,4100,4100,13451.44,13451.44,-0.06639,-78.43333,"0° 3' 50"" S","78° 26' 0"" W",none,none,none,grass páramo with scattered shrubs,No,none,none,páramo,none,none,none,"THE NEW YORK BOTANICAL GARDEN
CRYPTOGAMS OF ECUADOR
Acarospora
Prov. Cotopaxi:. Parque Nacional Cotopaxi,
along road from Pampa de Limpios to summit
of Cotopaxi, 00°38TS, 78°26fW; 4100 m;
grass páramo with scattered shrubs.
17 December 1983
Acarospora
COTOPAXI: Parque Nacional Cotopaxi,
along road from Pampa de Limpios to
summit of Cotopaxi. 17 Dec 1983.
THE NEW YORK BOTANICAL CARDEN
LICHENS OF ECUADOR
R. C. Harris 17425
<^> IMAGED
04285746
R. C. Harris 17425
04285746",OK,"THE NEW YORK BOTANICAL GARDEN
LICHENS OF ECUADOR
Herbarium - University of California Riverside
Acarospora obnallens
(Nyl. ex Hassel) Zahlbr.
Det. by Kerry Knudsen 2006 12-17
R. C. Harris 17425
NEW YORK BOTANICAL GARDEN
IMAGED
04285746
THE NEW YORK BOTANICAL GARDEN
CRYPTOGAMS OF ECUADOR
Acarospora

Prov. Cotopaxi: Parque Nacional Cotopaxi,
along road from Pampa de Limpiop to summit of Cotopaxi, 0° 03' S, 78° 26' W; 4100 m;
grass páramo with scattered shrubs.
17 December 1983
R. C. Harris 17425"
4613761,33172b92-d8da-4d90-80f5-d7383eaf3b3d,NY,4510482,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4613761,http://sweetgum.nybg.org/images3/4016/990/04510482.jpg,Fungi,Ascomycota,Collemataceae,Leptogium menziesii (Sm.) Mont.,Carl,Inga Skottsberg,NR.,298,none,NR. 298,1917-02-25,1917-02-25,25/2 1917,none,South America,Chile,none,none,"Juan Fernandez: Masafuera, in altaplanitie",none,none,none,1200,1200,3937,3937,-33.634,-78.836,33°38'S,78°50'W,none,Estimated from locality description,5000,none,No,none,none,none,none,none,none,"-*iÄk
SVENSKA PACIFICEXPEDITIONEN 1916—17.
LICHENES.
(2>	""’ I	04i
JUAN FERNANDEZ: t
^ ^	%j£uL .	J2n m.s. m. ^5oJ917
DET. sJ^pJUA-r*
CARL o. INGA SKOTTSBERG.
04510482",OK,"THE NEW YORK BOTMICAL GARDEN HERBARIUM COLLECTION COPYRIGHT RESERVED SVENSKA PACIFICEXPTIONEN 1916- 17. ICHENES. NR. 298. Leptogium menziesii Mont. JUAN FERNANDEZ: Masafaera, in altipla nitie 1200 M.S.M. 25/2 1917 DET. Azaalbo CARL O. INGA SKOTTSBERG. NEW YORK BOTANICAL GARDEN 04510482"
2255254,15a52b1b-8de9-4025-836d-da75acd45744,NY,2083961,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2255254,http://sweetgum.nybg.org/images3/2020/719/02083961.jpg,Plantae,Bryophyta,Bartramiaceae,Breutelia integrifolia (Taylor) A.Jaeger,"Dana Griffin, III",none,none,none,none,none,1983-11-01,1983-11-30,Nov. 1983,none,South America,Chile,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,No,none,none,none,none,none,none,"PLANTS OF CHILE
( ? »©Tanicaj,
I
Breutelia integrifolia (Tayl.) Jaeg.
Dana Griffin, III	Nov* 1983
__ w	\H1-i
02083961",OK,"PLANTS OF CHILE
Breutelia integrifol..(Tayl.) Jaeg.
Dana Griffin, III Nov. 1983
NEW YORK
BOTANICAL
GARDEN"
2956511,782279d3-43f0-401c-ae3d-ef20726e98ac,NY,2642135,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2956511,http://sweetgum.nybg.org/images3/1998/000/02642135.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia,M.M. Saavedra,"P. Fiaschi, A. Lobão, M.F. Santos",none,1058,none,1058,2012-01-13,2012-01-13,13 I 2012,none,South America,Brazil,Rio de Janeiro,none,"Itatiaia: Parque Nacional do Itatiaia. Trilha para os Três Picos, antes de cruzar o rio Bela Vista. Floresta Ombrófila Densa Montana (Mata Atlântica).",none,none,none,1200,1200,3937,3937,-22.435833,-44.6075,"22°26'05""S","44°36'27""W",none,none,none,none,No,"Planta terrestre, fronde ereta, as férteis com soros verdes at amarelo dourado.",none,Floresta Ombrófila Densa Montana (Mata Atlântica),none,none,none,"Anemiaceae
Anemia
Brasil. Rio de Janeiro. Itatiaia: Parque Nacional
do Itatiaia. Trilha para os Très Picos, antes de
cruzar o rio Bela Vista. Floresta Ombrófila Densa
Montana (Mata Atlántica). 22°26,07""S 44°36,27""W.
Elev. 1200 m.
Planta terrestre, fronde ereta, as férteis com
soros verdes até amarelo dourado.
M.M. Saavedra 1058, P. Fiaschi, A. Lobâo & M.F.
Santos	13 i 2012
02642135",OK,"The New York Botanical Garden ©opyright reserved Anemiaceae Universidade de São Paulo Herbário SPF 
Anemia
Brasil. Rio de Janeiro. Itatiaia: Parque Nacional do Itatiaia. Trilha para os Três Picos, antes de cruzar o rio Bela Vista. Floresta Ombrófila Densa Montana (Mata Atlântica). 22°26'05""S 44°36'27""W. Elev. 1200 m. 
Planta terrestre, fronde ereta, as férteis com soros verdes at amarelo dourado.
M.M. Saavedra 1058, P. Fiaschi, A. Lobão & M.F. Santos 13 I 2012
NEW YORK BOTANICAL GARDEN 02642135"
3500201,47ed26cf-68c3-4b0b-8054-309d3cf0e6f9,NY,3231483,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3500201,http://sweetgum.nybg.org/images3/2601/106/03231483.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia,R.C. Forzza,"L.F.A. Paula, R.G. Barbosa-Silva, L.P. Mauad",none,8807,none,8807,2016-01-21,2016-01-21,21-V-2016,none,South America,Brazil,Espírito Santo,Cachoeiro de Itapemirim,"Burarama, localidade de Furquilha",none,none,none,491,491,1607,1607,-20.645833,-41.353056,"20°38'45"" S","41°21'11"" W",none,none,none,none,No,Erva em tapete de Selaginella,none,Inselbergue,none,none,none,"Brasil, Espirito Santo, Cachoeiro de Itapemirim. Burarama, localidade de
Furquilha. 20°38,54"" S, 4102ri1"" W. Elev.: 491 m.
Erva em tapete de Selaginella. Habitat: Inselbergue.
03231483",OK,"JARDIM BOTÂNICO DO RIO DE JANEIRO
RB 681142
ANEAMIACEAE
Anemia
Brasil, Espírito Santo, Cachoeiro de Itapemirim. Burarama, localidade de
Furquilha. 20°38'45"" S, 41°21'11"" W. Elev.: 491 m.
Erva em tapete de Selaginella. Habitat: Inselbergue.
R.C. Forzza, 8807, L.F.A. Paula, R.G. Barbosa-Silva,
L.P. Mauad
21-V-2016
NEW YORK
BOTANICAL GARDEN"
3946033,c3627ea5-2ad4-46f0-afef-9db0eb0c6aac,NY,3696760,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3946033,http://sweetgum.nybg.org/images3/3060/769/03696760.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia,Goldenberg R.,"Amorim A.M., Paixão J.L.",none,2311,none,2311,2017-04-29,2017-04-29,29/Abr/2017,none,South America,Brazil,Bahia,none,"Presidente Tancredo Neves. Região da Serra do Timbó, topo de serra com arbustivo-herbácea sobre lage de arenito, entremeada com fragmentos de floresta",none,none,none,none,none,none,none,-13.466667,-39.701667,"13° 28' 0"" S","39° 42' 06"" W",none,Estimated from locality description,1000,none,No,Erva 40 cm,none,"topo de serra com arbustivo-herbácea sobre lage de arenito, entremeada com fragmentos de floresta",none,none,none,"UFPR	Universidade Federal do Paraná Herbário UPCB
Anemiaceae	
Anemia	
Det.: /	
BRASIL. Bahia: Presidente Tancredo Neves. Regiäo da Serra do Timbó, topo de serra com arbustivo-herbácea sobre läge de arenito, entremeada com fragmentos de floresta39° 42' 06""W, 39° 42' 06""W.	
Obs.: Erva40 cm	
Leg.: Goldenberg R. 2311, Amorim AM., Paixäo J.L. 29/Abr/2017	
03696760",OK,"The New York Botanical Garden
copyright reserved
0 cm 1 2 3 4 5 6 7 8 9 10
New York Botanical Garden
03696760
UNIVERSIDADE FEDERAL DO PARANÁ
Herbário UPCB
Anemiaceae
Anemia
Det:

BRASIL. Bahia: Presidente Tancredo Neves. Região da Serra do Timbó, topo de serra com arbustivo-herbácea sobre lage de arenito, entremeada com fragmentos de floresta 39° 42' 06""W, 39° 42' 06""W.

Obs.: Erva 40 cm

Leg.: Goldenberg R. 2311, Amorim A.M., Paixão J.L. 29/Abr/2017
"
4140866,7c5f6a60-7dbe-49f9-8916-f0f3687fc35f,NY,3861570,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4140866,http://sweetgum.nybg.org/images3/3156/527/03861570.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia,G Martinelli,"T Lima, L Moraes",none,19099,none,19099,2016-07-19,2016-07-19,19-VII-2016,Proj.: Projeto Inventário em Áreas Prioritárias para Conservação,South America,Brazil,Minas Gerais,none,"Diamantina. Parque Estadual do Rio Preto. Campos rupestres na localidade de Iapioca, campos rupestres.",none,none,none,1580,1580,5183.6,5183.6,-18.1342,-43.2032,"18°8'3.2""S","43°12'3.2""W",none,none,none,none,No,"saxiola, heliolifa, folhas verdes, esporângios de cor ocre",none,Campos rupestres,none,none,none,"SA.
Fe tr¡
JARDIM BOTÀNICO DO RIO DE JANEIRO
RB 735303
(pteridaceae) A 4
A
Brasil, Minas Gerais, Diamantina. Parque Estadual do Rio Preto. Campos
rupestres na localidade de lajeado, campos rupestres. 18°13'42"" S
43°20'32"" W. Elev.: 1580 m.
saxícola, heliófila; folhas verdes, discolores; esporangios de cor verde.
G.Martinelli, 19099, T.Lima, L.Moraes
19-111-2016
Proj.: Projeto Inventàrio em Áreas Prioritarias para Conservalo.
03861570
01337854
03861570",OK,"JARDIM BOTÂNICO DO RIO DE JANEIRO
RB 735303
(PTERIDACEAE) Anemia
Anemia

Brasil, Minas Gerais, Diamantina. Parque Estadual do Rio Preto. Campos rupestres na localidade da Iapioca. campos rupestres. 18°13'42” S,
43° 12'03 2"" W. Elev.: 1580 m
eaxiola, heliolifa, folhas verdes, discoloressporângios de cor 0( re.

G Martinelli, 19099, T Lima, L Moraes

19-VIL-2016

Proj.: Projeto Inventário em Áreas Prioritárias para Conservação

THE NEW YORK
BOTANICAL GARDEN

NEW YORK
BOTANICAL GARDEN

O3861570
01337854"
3407110,2be5ba38-444d-4d29-96c5-56f40ffd522f,NY,3156548,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3407110,http://sweetgum.nybg.org/images3/2489/995/03156548.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia adiantifolia (L.) Sw.,R. Seiler,none,none,2110,none,2110,2017-06-17,2017-06-17,June 17 2017,none,North America,Belize,Cayo District,none,Roadbank on George Price Hwy btw Belmopan & San Ignacio,none,none,none,80,80,262,262,17.58833,-88.8,17°35.3'N,88°48.0'W,none,none,none,none,No,none,none,none,none,none,none,"The New York Botanical Garden
(L.) S*v,
Robbin C. Moran, 2017 (NY)
HERBARIUM OF RALPH SEILER
PLANTS OF Beufct
Aapum«.
ffciAWIfc ** 6socy '&»£.«_ irW 4>*ho
B&V.fAt>Sfc*V \ SZytf-io, ¿Mo PtST;
Of ws»‘ »r Sl-S*©
Collector: R- Snt*r	Number: ZllO	Date: Xunf	i
2*M?
03156548",OK,"THE NEW YORK BOTANICAL GARDEN
Anemia adiantifolia (L.) Sw.
Robbin C. Moran, 2017 (NY)
HERBARIUM OF RALPH SEILER
PLANTS OF BELIZE
Anemia
Roadbank on George Price Hwy btw
Belmopan & San Ignacio. CAYO DIST.
e alt. 80 m 17°35.3'N 88°48.0'W
Collector R. Seiler	Number 2110	Date June 17
2017"
